 row column   gen seedrate lincol linrow rancol ranrow fixrow1          x site  yield
   1      1 Illyarrie       40   -2.5  -0.75      1      1       1 -0.1694215    1 0.6171
   2      1  Gungurru       60   -2.5  -0.65      1      2       2  1.8305785    1 1.1936
   3      1    Merrit       40   -2.5  -0.55      1      3       3 -0.1694215    1 1.0994
   4      1  Gungurru       50   -2.5  -0.45      1      4       4  0.8305785    1 0.9405
   5      1  Gungurru       40   -2.5  -0.35      1      5       1 -0.1694215    1 0.9825
   6      1    Yandee       40   -2.5  -0.25      1      6       2 -0.1694215    1 1.0129
   7      1     Danja       10   -2.5  -0.15      1      7       3 -3.1694215    1 0.5406
   8      1  Gungurru       10   -2.5  -0.05      1      8       4 -3.1694215    1 0.2680
   9      1     Danja       60   -2.5   0.05      1      9       1  1.8305785    1 0.8196
  10      1    Merrit       10   -2.5   0.15      1     10       2 -3.1694215    1 0.5171
  11      1    Yorrel       30   -2.5   0.25      1     11       3 -1.1694215    1 0.7010
  12      1    Warrah       30   -2.5   0.35      1     12       4 -1.1694215    1 0.6698
  13      1  Gungurru       30   -2.5   0.45      1     13       1 -1.1694215    1 1.0336
  14      1    Warrah       10   -2.5   0.55      1     14       2 -3.1694215    1 0.5701
  15      1   Unicrop       30   -2.5   0.65      1     15       3 -1.1694215    1 0.5833
  16      1 Illyarrie       50   -2.5   0.75      1     16       4  0.8305785    1 0.8141
   1      2    Yorrel       20   -1.5  -0.75      2      1       1 -2.1694215    1 0.4586
   2      2 Illyarrie       20   -1.5  -0.65      2      2       2 -2.1694215    1 0.3130
   3      2  Gungurru       20   -1.5  -0.55      2      3       3 -2.1694215    1 0.8610
   4      2    Warrah       50   -1.5  -0.45      2      4       4  0.8305785    1 0.8560
   5      2 Illyarrie       10   -1.5  -0.35      2      5       1 -3.1694215    1 0.5341
   6      2    Yandee       20   -1.5  -0.25      2      6       2 -2.1694215    1 0.5664
   7      2   Unicrop       10   -1.5  -0.15      2      7       3 -3.1694215    1 0.3310
   8      2    Warrah       40   -1.5  -0.05      2      8       4 -0.1694215    1 0.2099
   9      2 Illyarrie       60   -1.5   0.05      2      9       1  1.8305785    1 0.6209
  10      2   Unicrop       40   -1.5   0.15      2     10       2 -0.1694215    1 0.6864
  11      2    Warrah       20   -1.5   0.25      2     11       3 -2.1694215    1 0.5979
  12      2   Unicrop       50   -1.5   0.35      2     12       4  0.8305785    1 0.8260
  13      2     Danja       20   -1.5   0.45      2     13       1 -2.1694215    1 0.3541
  14      2    Yorrel       40   -1.5   0.55      2     14       2 -0.1694215    1 0.2333
  15      2   Unicrop       60   -1.5   0.65      2     15       3  1.8305785    1 0.1839
  16      2    Yandee       60   -1.5   0.75      2     16       4  1.8305785    1 0.6225
   1      3    Yorrel       60   -0.5  -0.75      3      1       1  1.8305785    1 0.5119
   2      3    Yandee       10   -0.5  -0.65      3      2       2 -3.1694215    1 0.2898
   3      3    Warrah       60   -0.5  -0.55      3      3       3  1.8305785    1 1.0019
   4      3    Merrit       60   -0.5  -0.45      3      4       4  1.8305785    1 1.0030
   5      3    Yandee       30   -0.5  -0.35      3      5       1 -1.1694215    1 0.6584
   6      3     Danja       50   -0.5  -0.25      3      6       2  0.8305785    1 0.6853
   7      3    Yandee       50   -0.5  -0.15      3      7       3  0.8305785    1 0.4766
   8      3   Unicrop       20   -0.5  -0.05      3      8       4 -2.1694215    1 0.4645
   9      3    Yorrel       10   -0.5   0.05      3      9       1 -3.1694215    1 0.3990
  10      3    Merrit       30   -0.5   0.15      3     10       2 -1.1694215    1 0.7719
  11      3    Merrit       20   -0.5   0.25      3     11       3 -2.1694215    1 0.5296
  12      3 Illyarrie       30   -0.5   0.35      3     12       4 -1.1694215    1 0.6303
  13      3     Danja       40   -0.5   0.45      3     13       1 -0.1694215    1 0.6896
  14      3     Danja       30   -0.5   0.55      3     14       2 -1.1694215    1 0.4950
  15      3    Yorrel       50   -0.5   0.65      3     15       3  0.8305785    1 0.2544
  16      3    Merrit       50   -0.5   0.75      3     16       4  0.8305785    1 0.7445
   1      4    Yandee       20    0.5  -0.75      4      1       1 -2.1694215    1 0.3591
   2      4    Warrah       60    0.5  -0.65      4      2       2  1.8305785    1 0.2409
   3      4     Danja       50    0.5  -0.55      4      3       3  0.8305785    1 0.8138
   4      4    Yandee       30    0.5  -0.45      4      4       4 -1.1694215    1 0.3233
   5      4    Yandee       60    0.5  -0.35      4      5       1  1.8305785    1 0.6618
   6      4    Yandee       40    0.5  -0.25      4      6       2 -0.1694215    1 0.7276
   7      4    Yorrel       20    0.5  -0.15      4      7       3 -2.1694215    1 0.3575
   8      4    Merrit       60    0.5  -0.05      4      8       4  1.8305785    1 0.3606
   9      4  Gungurru       50    0.5   0.05      4      9       1  0.8305785    1 0.2755
  10      4 Illyarrie       50    0.5   0.15      4     10       2  0.8305785    1 0.5950
  11      4   Unicrop       50    0.5   0.25      4     11       3  0.8305785    1 0.3545
  12      4     Danja       60    0.5   0.35      4     12       4  1.8305785    1 0.6375
  13      4  Gungurru       20    0.5   0.45      4     13       1 -2.1694215    1 0.4178
  14      4    Yandee       50    0.5   0.55      4     14       2  0.8305785    1 0.9611
  15      4  Gungurru       40    0.5   0.65      4     15       3 -0.1694215    1 0.5504
  16      4     Danja       20    0.5   0.75      4     16       4 -2.1694215    1 0.3430
   1      5  Gungurru       60    1.5  -0.75      5      1       1  1.8305785    1 0.4955
   2      5 Illyarrie       60    1.5  -0.65      5      2       2  1.8305785    1 0.5863
   3      5   Unicrop       20    1.5  -0.55      5      3       3 -2.1694215    1 0.3693
   4      5    Merrit       50    1.5  -0.45      5      4       4  0.8305785    1 0.6833
   5      5    Yorrel       40    1.5  -0.35      5      5       1 -0.1694215    1 0.6394
   6      5    Warrah       30    1.5  -0.25      5      6       2 -1.1694215    1 0.4509
   7      5 Illyarrie       30    1.5  -0.15      5      7       3 -1.1694215    1 0.5001
   8      5    Yorrel       60    1.5  -0.05      5      8       4  1.8305785    1 0.3938
   9      5   Unicrop       10    1.5   0.05      5      9       1 -3.1694215    1 0.4261
  10      5    Warrah       20    1.5   0.15      5     10       2 -2.1694215    1 0.5294
  11      5    Yorrel       10    1.5   0.25      5     11       3 -3.1694215    1 0.2691
  12      5    Warrah       10    1.5   0.35      5     12       4 -3.1694215    1 0.3264
  13      5     Danja       30    1.5   0.45      5     13       1 -1.1694215    1 0.9338
  14      5   Unicrop       30    1.5   0.55      5     14       2 -1.1694215    1 0.5323
  15      5     Danja       40    1.5   0.65      5     15       3 -0.1694215    1 0.8705
  16      5    Yorrel       30    1.5   0.75      5     16       4 -1.1694215    1 0.3083
   1      6    Merrit       30    2.5  -0.75      6      1       1 -1.1694215    1 1.0289
   2      6    Merrit       40    2.5  -0.65      6      2       2 -0.1694215    1 0.8086
   3      6 Illyarrie       10    2.5  -0.55      6      3       3 -3.1694215    1 0.3161
   4      6   Unicrop       40    2.5  -0.45      6      4       4 -0.1694215    1 0.2505
   5      6    Warrah       50    2.5  -0.35      6      5       1  0.8305785    1 0.8784
   6      6    Yandee       10    2.5  -0.25      6      6       2 -3.1694215    1 0.5186
   7      6 Illyarrie       20    2.5  -0.15      6      7       3 -2.1694215    1 0.5249
   8      6  Gungurru       10    2.5  -0.05      6      8       4 -3.1694215    1 0.4123
   9      6    Warrah       40    2.5   0.05      6      9       1 -0.1694215    1 0.7058
  10      6     Danja       10    2.5   0.15      6     10       2 -3.1694215    1 0.4350
  11      6    Yorrel       50    2.5   0.25      6     11       3  0.8305785    1 0.5275
  12      6    Merrit       10    2.5   0.35      6     12       4 -3.1694215    1 0.2461
  13      6   Unicrop       60    2.5   0.45      6     13       1  1.8305785    1 0.5411
  14      6 Illyarrie       40    2.5   0.55      6     14       2 -0.1694215    1 0.6026
  15      6    Merrit       20    2.5   0.65      6     15       3 -2.1694215    1 0.6041
  16      6  Gungurru       30    2.5   0.75      6     16       4 -1.1694215    1 0.4915
   1      1 Illyarrie       40   -2.5  -0.75      1      1       1 -0.1694215    2 1.1674
   2      1  Gungurru       60   -2.5  -0.65      1      2       2  1.8305785    2 1.7718
   3      1    Merrit       40   -2.5  -0.55      1      3       3 -0.1694215    2 1.2966
   4      1  Gungurru       50   -2.5  -0.45      1      4       4  0.8305785    2 2.0379
   5      1  Gungurru       40   -2.5  -0.35      1      5       1 -0.1694215    2 1.4716
   6      1    Yandee       40   -2.5  -0.25      1      6       2 -0.1694215    2 1.5498
   7      1     Danja       10   -2.5  -0.15      1      7       3 -3.1694215    2 0.8126
   8      1  Gungurru       10   -2.5  -0.05      1      8       4 -3.1694215    2 0.6588
   9      1     Danja       60   -2.5   0.05      1      9       1  1.8305785    2 1.5341
  10      1    Merrit       10   -2.5   0.15      1     10       2 -3.1694215    2 0.2944
  11      1    Yorrel       30   -2.5   0.25      1     11       3 -1.1694215    2 1.1103
  12      1    Warrah       30   -2.5   0.35      1     12       4 -1.1694215    2 1.1619
  13      1  Gungurru       30   -2.5   0.45      1     13       1 -1.1694215    2 1.4368
  14      1    Warrah       10   -2.5   0.55      1     14       2 -3.1694215    2 0.3814
  15      1   Unicrop       30   -2.5   0.65      1     15       3 -1.1694215    2 1.5186
  16      1 Illyarrie       50   -2.5   0.75      1     16       4  0.8305785    2 2.0366
   1      2    Yorrel       20   -1.5  -0.75      2      1       1 -2.1694215    2 0.7393
   2      2 Illyarrie       20   -1.5  -0.65      2      2       2 -2.1694215    2 1.1075
   3      2  Gungurru       20   -1.5  -0.55      2      3       3 -2.1694215    2 0.9499
   4      2    Warrah       50   -1.5  -0.45      2      4       4  0.8305785    2 1.9958
   5      2 Illyarrie       10   -1.5  -0.35      2      5       1 -3.1694215    2 0.7625
   6      2    Yandee       20   -1.5  -0.25      2      6       2 -2.1694215    2 1.6730
   7      2   Unicrop       10   -1.5  -0.15      2      7       3 -3.1694215    2 0.8243
   8      2    Warrah       40   -1.5  -0.05      2      8       4 -0.1694215    2 1.0243
   9      2 Illyarrie       60   -1.5   0.05      2      9       1  1.8305785    2 1.2369
  10      2   Unicrop       40   -1.5   0.15      2     10       2 -0.1694215    2 1.3576
  11      2    Warrah       20   -1.5   0.25      2     11       3 -2.1694215    2 0.6705
  12      2   Unicrop       50   -1.5   0.35      2     12       4  0.8305785    2 1.7583
  13      2     Danja       20   -1.5   0.45      2     13       1 -2.1694215    2 1.1719
  14      2    Yorrel       40   -1.5   0.55      2     14       2 -0.1694215    2 1.3865
  15      2   Unicrop       60   -1.5   0.65      2     15       3  1.8305785    2 1.8980
  16      2    Yandee       60   -1.5   0.75      2     16       4  1.8305785    2 1.9391
   1      3    Yorrel       60   -0.5  -0.75      3      1       1  1.8305785    2 1.8480
   2      3    Yandee       10   -0.5  -0.65      3      2       2 -3.1694215    2 0.6494
   3      3    Warrah       60   -0.5  -0.55      3      3       3  1.8305785    2 1.6581
